;Istanbul;Omurlu;Uskudar;Diyarbakir district;Lice district;Malatya;Ceylanpinar;Yuksekova;Konak District;Ordu;Uzumlu;Dortyol;Kizilsu;Van;Kabala;Sur district;Baykoy;Kucukmece;Pendik;Midyat;Toroslar;Bursa;Kadikoy district;Kirikkale;Kocakoy;Gebze district;Mersin;Yesilkoy;Dogansar District;Ercis district;Pulumur;Isparta;Kasimli;Pinarbasi;Sultangazi district;Cesme;Hani district;Alacakaya;Nusaybin;Batman;Belenoluk;Aydin;Torul;Cankiri;Dikbiyik;Hakkari;Duzici district;Sirnak;Caglayan;Akcay;Sanliurfa;Mardinkapi;Kusadasi district;Yuksekova District;Yenimahalle District;Beytussebap district;Gaziantep;Erzin;Semdinli district;Hatay;Yenisehir;Pozanti;Bulanik;Besikduzu;Bitlis;Mus;Diyadin District;Cat district;Lice;Of;Iskenderun;Payas;Dogubeyazit district;Silopi;Beytussebap;Bademli;Solhan;Bukardi;Cizre District;Bingol;Kiziltepe District;Pervari;Mezra;Izmir;Cigdemli;Tatvan;Samsun;Omerli;Yenikoy;Tokat;Dazya;Hozat district;Silvan;Marmaris;Hizan district;Nazimiye district;Aritis;Bakacak;Egirmec;Antakya;Diyarbakir;Elazig;Izmit;Malazgirt;Magara;Seyhan District;Kozluk;Derik district;Buca district;Kulp district;Ziyaret;Resadiye District;Taskoy;Nusaybin district;Sason;Guclukonak District;Ercis;Karliova;Genc district;Kigi;Semdinli;Adana;Karakocan district;Hani;Ozalp;Saray;Yuksekova district;Genc;Cukurca district;Diyadin;Mesepinar;Gecitalan;Konya;Akdana;Celtiksuyu;Suruc;Islahiye district;Cizre;Erzincan;Cinar;Gecitli;Antalya;Ogulveren;Ankara;Caldiran district;Beldeler;Arabaslik;Eskisehir;Geyiksuyu;Cukurca;Dicle;Cayirli;Saricam District;Reyhanli;Siran;Servi;Kemer;Cizre district;Refahiye;Catak;Tunceli;Daglica
Istanbul;0;1;1;1;1;2;1;2;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;2;1;4;1;1;1;2;1;1;1;1;1;1;1;2;3;1;1;1;1;1;4;1;2;1;1;2;1;1;1;1;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;4;1;1;1;1;1;1;2;1;1;1;3;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;3;1;2;1;1;4;2;1;1;1;1;1;1;1;1;1;2;1;1;1;3;1;10;1;1;1;1;1;2;2;2;1;2;1;1;1;2;1;2;2;2
Omurlu;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0
Uskudar;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
Diyarbakir district;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lice district;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0
Malatya;2;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;2;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;2;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;2;2;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;2;1;2;0;0;1;1;0;1;1;0;0;1;0;0;1;0;1;0;0;1
Ceylanpinar;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
Yuksekova;2;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;2;0;0;0;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;2;1;0;1;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;1;2;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;2;1;0;1;1;1;2;1;1;0;0;1;0;0;0;1;1;1;0
Konak District;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
Ordu;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
