city,Target_type
Istanbul,Police
Istanbul,Tourists
Ankara,NGO
Kucukmece,Business
Yesilkoy,Transportation
Istanbul,Violent Political Party
Akdana,Private Citizens & Property
Istanbul,Police
Baykoy,Private Citizens & Property
Ankara,Airports & Aircraft
Resadiye District,Business
Istanbul,Government (General)
Dikbiyik,Business
Kizilsu,Police
Istanbul,Business
Yuksekova district,Military
Kirikkale,Transportation
Diyarbakir,Business
Van,Military
Uskudar,Government (General)
Bursa,Government (General)
Seyhan District,Military
Istanbul,Government (General)
Istanbul,Private Citizens & Property
Istanbul,Private Citizens & Property
Istanbul,Private Citizens & Property
Istanbul,Business
Batman,Private Citizens & Property
Istanbul,Private Citizens & Property
Cankiri,Government (General)
Istanbul,Business
Istanbul,Business
Ankara,Government (General)
Istanbul,Private Citizens & Property
Istanbul,Private Citizens & Property
Istanbul,Government (General)
Istanbul,Business
Istanbul,Private Citizens & Property
Istanbul,Business
Ankara,Government (General)
Istanbul,Business
Istanbul,NGO
Ankara,Government (General)
Istanbul,Violent Political Party
Mus,Government (General)
Diyarbakir,Police
Van,Utilities
Istanbul,Government (General)
Istanbul,Police
Istanbul,Private Citizens & Property
Istanbul,Police
Istanbul,Government (General)
Of,Government (General)
Bingol,Government (General)
Hakkari,Government (General)
Yenimahalle District,Government (General)
Istanbul,Government (General)
Yuksekova District,Military
Cat district,Government (General)
Karakocan district,Military
Istanbul,Business
Diyadin District,Police
Konya,Government (General)
Kiziltepe District,Government (General)
Elazig,Business
Cizre District,Military
Cayirli,Utilities
Istanbul,Private Citizens & Property
Adana,Police
Uzumlu,Transportation
Cayirli,Military
Istanbul,Utilities
Payas,Business
Dogansar District,Government (General)
Istanbul,Transportation
Istanbul,Transportation
Istanbul,Transportation
Caglayan,Business
Arabaslik,Business
Solhan,Business
Karakocan district,Military
Bulanik,Military
Cigdemli,Private Citizens & Property
Catak,Military
Konak District,Government (General)
Tunceli,Police
Istanbul,Government (General)
Istanbul,Government (General)
Istanbul,Food or Water Supply
Istanbul,Government (General)
Istanbul,Business
Uskudar,Government (General)
Istanbul,Business
Toroslar,Government (General)
Istanbul,Government (General)
Istanbul,Government (General)
Istanbul,Educational Institution
Istanbul,Government (General)
Istanbul,Government (General)
Istanbul,Government (General)
Mesepinar,Private Citizens & Property
Istanbul,Journalists & Media
Istanbul,Business
Bademli,Private Citizens & Property
Istanbul,Police
Ankara,Educational Institution
Istanbul,Government (General)
Istanbul,Private Citizens & Property
Istanbul,Business
Istanbul,Private Citizens & Property
Istanbul,Journalists & Media
Istanbul,Business
Istanbul,Journalists & Media
Istanbul,Journalists & Media
Erzin,Government (General)
Istanbul,Government (General)
Istanbul,Transportation
Istanbul,Business
Adana,Private Citizens & Property
Isparta,Police
Istanbul,Telecommunication
Istanbul,Private Citizens & Property
Istanbul,Government (General)
Ankara,Private Citizens & Property
Ankara,Private Citizens & Property
Gaziantep,Government (General)
Diyarbakir,Government (General)
Diyarbakir,Government (General)
Istanbul,Business
Istanbul,Business
Dazya,Military
Kadikoy district,Police
Istanbul,Military
Diyarbakir,Police
Istanbul,Police
Istanbul,Business
Istanbul,Business
Istanbul,Business
Istanbul,Government (General)
Istanbul,Police
Istanbul,Private Citizens & Property
Istanbul,Business
Istanbul,Police
Istanbul,Private Citizens & Property
Istanbul,Police
Istanbul,Police
Istanbul,Educational Institution
Istanbul,Police
Diyarbakir,Police
Aydin,Private Citizens & Property
Istanbul,Business
Istanbul,Journalists & Media
Izmir,Government (General)
Ankara,NGO
Istanbul,Business
Istanbul,NGO
Istanbul,Business
Istanbul,Police
Istanbul,Government (General)
Istanbul,Government (General)
Istanbul,Airports & Aircraft
Istanbul,Private Citizens & Property
Istanbul,Business
Istanbul,Business
Istanbul,Government (General)
Eskisehir,Business
Istanbul,Airports & Aircraft
Istanbul,Business
Istanbul,Business
Ankara,Government (General)
Istanbul,Government (General)
Istanbul,Government (Diplomatic)
Istanbul,Government (General)
Tokat,Military
Pulumur,Government (General)
Yenikoy,Private Citizens & Property
Ankara,Government (General)
Tunceli,Police
Istanbul,Religious Figures/Institutions
Istanbul,Religious Figures/Institutions
Istanbul,Government (Diplomatic)
Istanbul,Business
Nusaybin,Military
Istanbul,Private Citizens & Property
Istanbul,Police
Ankara,Business
Istanbul,Business
Pervari,Military
Istanbul,Business
Istanbul,Transportation
Van,Government (General)
Guclukonak District,Military
Mardinkapi,Police
Istanbul,Business
Istanbul,Business
Istanbul,Utilities
Dortyol,Business
Ankara,Government (General)
Mersin,Private Citizens & Property
Istanbul,Business
Adana,Business
Izmir,Business
Ankara,Government (Diplomatic)
Yuksekova district,Military
Yuksekova,Military
Omerli,Military
Istanbul,Business
Yenisehir,Private Citizens & Property
Taskoy,Utilities
Diyarbakir,Government (General)
Mersin,Government (General)
Mus,Transportation
Gebze district,Business
Ankara,Government (General)
Diyarbakir,Police
Ziyaret,Military
Hozat district,Military
Sirnak,Private Citizens & Property
Cesme,Tourists
Kusadasi district,Tourists
Istanbul,Business
Torul,Military
Hakkari,Military
Kocakoy,Police
Antalya,Business
Antalya,Private Citizens & Property
Pendik,Private Citizens & Property
