Rank,Country,Stability(14%),Rights(15%),Health(14%),Safety(14%),Climate(14%),Costs(15%),Popularity(14%),Total
1,Australia,86,92,87,100,90,23,41,74
2,San Marino,81,82,91,87,62,61,47,73
3,Hong Kong,77,85,100,97,49,61,41,73
4,Macao,90,71,100,93,48,61,44,72
5,Switzerland,91,99,93,99,34,44,46,72
6,Spain,64,73,87,95,74,43,66,71
7,Malta,86,72,91,92,75,41,44,71
8,Luxembourg,93,99,85,100,25,46,42,70
9,Singapore,83,89,79,100,45,55,39,70
10,Bermuda,89,78,96,93,68,34,35,70
11,Canada,85,92,78,97,33,37,62,69
12,Japan,87,86,92,97,58,27,36,69
13,Cyprus,67,68,77,93,75,53,50,69
14,Austria,83,91,97,98,27,37,47,69
15,Portugal,80,77,82,93,68,44,37,68
16,France,72,83,91,93,41,29,71,68
17,South Korea,81,75,92,95,56,42,39,68
18,Germany,82,94,96,95,21,44,42,68
19,Norway,89,99,90,99,16,42,37,67
20,United States,63,81,71,85,66,37,67,67
21,New Zealand,91,100,81,95,35,26,37,67
22,Sweden,87,99,85,96,20,40,37,67
23,Czechia,78,73,90,93,22,49,59,66
24,Denmark,86,100,85,95,17,35,45,66
25,United Arab Emirates,82,65,65,93,62,67,28,66
26,Finland,85,100,87,93,17,46,32,66
27,Qatar,77,60,62,94,60,70,38,66
28,Poland,69,67,79,93,26,58,69,66
29,Slovenia,80,73,83,96,40,57,32,66
30,Croatia,67,58,80,91,57,67,40,66
31,Netherlands,84,98,83,96,20,40,37,66
32,Uruguay,67,79,75,82,77,47,30,65
33,Italy,65,65,87,89,57,30,65,65
34,Greece,60,61,89,88,69,44,43,65
35,Hungary,70,57,81,88,42,56,57,64
36,Israel,57,72,84,81,81,36,33,63
37,Chile,66,79,68,87,47,54,36,62
38,Bulgaria,68,51,81,85,50,62,40,62
39,Iceland,82,92,87,97,7,36,33,62
40,Belgium,75,87,88,92,20,32,40,62
41,Ireland,84,90,82,96,2,35,42,62
42,Saudi Arabia,53,45,61,90,52,76,55,62
43,Estonia,80,89,81,92,17,43,26,61
44,Thailand,61,40,65,96,46,55,63,61
45,Slovakia,73,67,77,89,34,42,41,60
46,United Kingdom,76,91,78,95,6,34,42,60
47,Bahrain,59,45,61,92,63,72,28,60
48,Oman,68,51,64,92,43,68,31,60
49,North Macedonia,56,48,70,87,56,64,36,60
50,Romania,64,57,73,88,37,68,25,59
51,China,69,37,67,90,56,38,57,59
52,Latvia,74,74,77,87,19,55,24,59
53,Lithuania,77,75,82,88,20,43,23,58
54,Malaysia,70,58,61,91,44,46,41,58
55,Georgia,46,63,67,88,44,58,36,57
56,Maldives,64,39,72,87,62,59,18,57
57,Paraguay,57,37,51,76,78,66,35,57
58,Kuwait,66,47,66,88,32,74,25,57
59,Costa Rica,69,69,64,73,44,46,32,57
60,Argentina,41,44,79,78,77,41,38,57
61,Morocco,56,40,53,87,81,45,36,57
62,Sri Lanka,52,43,62,92,57,56,33,56
