source,target,weight
Istanbul,Omurlu,1
Istanbul,Uskudar,1
Istanbul,Diyarbakir district,1
Istanbul,Lice district,1
Istanbul,Malatya,2
Istanbul,Ceylanpinar,1
Istanbul,Yuksekova,2
Istanbul,Konak District,1
Istanbul,Ordu,1
Istanbul,Uzumlu,1
Istanbul,Dortyol,1
Istanbul,Kizilsu,1
Istanbul,Van,5
Istanbul,Kabala,1
Istanbul,Sur district,1
Istanbul,Baykoy,1
Istanbul,Kucukmece,1
Istanbul,Pendik,1
Istanbul,Midyat,1
Istanbul,Toroslar,1
Istanbul,Bursa,1
Istanbul,Kadikoy district,1
Istanbul,Kirikkale,1
Istanbul,Kocakoy,2
Istanbul,Gebze district,1
Istanbul,Mersin,4
Istanbul,Yesilkoy,1
Istanbul,Dogansar District,1
Istanbul,Ercis district,1
Istanbul,Pulumur,2
Istanbul,Isparta,1
Istanbul,Kasimli,1
Istanbul,Pinarbasi,1
Istanbul,Sultangazi district,1
Istanbul,Cesme,1
Istanbul,Hani district,1
Istanbul,Alacakaya,1
Istanbul,Nusaybin,2
Istanbul,Batman,3
Istanbul,Belenoluk,1
Istanbul,Aydin,1
Istanbul,Torul,1
Istanbul,Cankiri,1
Istanbul,Dikbiyik,1
Istanbul,Hakkari,4
Istanbul,Duzici district,1
Istanbul,Sirnak,2
Istanbul,Caglayan,1
Istanbul,Akcay,1
Istanbul,Sanliurfa,2
Istanbul,Mardinkapi,1
Istanbul,Kusadasi district,1
Istanbul,Yuksekova District,1
Istanbul,Yenimahalle District,1
Istanbul,Beytussebap district,1
Istanbul,Gaziantep,2
Istanbul,Erzin,1
Istanbul,Semdinli district,2
Istanbul,Hatay,1
Istanbul,Yenisehir,1
Istanbul,Pozanti,1
Istanbul,Bulanik,1
Istanbul,Besikduzu,1
Istanbul,Bitlis,1
Istanbul,Mus,2
Istanbul,Diyadin District,1
Istanbul,Cat district,1
Istanbul,Lice,1
Istanbul,Of,1
Istanbul,Iskenderun,1
Istanbul,Payas,1
Istanbul,Dogubeyazit district,4
Istanbul,Silopi,1
Istanbul,Beytussebap,1
Istanbul,Bademli,1
Istanbul,Solhan,1
Istanbul,Bukardi,1
Istanbul,Cizre District,1
Istanbul,Bingol,2
Istanbul,Kiziltepe District,1
Istanbul,Pervari,1
Istanbul,Mezra,1
Istanbul,Izmir,3
Istanbul,Cigdemli,1
Istanbul,Tatvan,2
Istanbul,Samsun,1
Istanbul,Omerli,1
Istanbul,Yenikoy,1
Istanbul,Tokat,1
Istanbul,Dazya,1
Istanbul,Hozat district,1
Istanbul,Silvan,1
Istanbul,Marmaris,2
Istanbul,Hizan district,1
Istanbul,Nazimiye district,1
Istanbul,Aritis,1
Istanbul,Bakacak,1
Istanbul,Egirmec,1
Istanbul,Antakya,1
Istanbul,Diyarbakir,7
Istanbul,Elazig,1
Istanbul,Izmit,1
Istanbul,Malazgirt,1
Istanbul,Magara,1
Istanbul,Seyhan District,1
Istanbul,Kozluk,1
Istanbul,Derik district,1
Istanbul,Buca district,1
Istanbul,Kulp district,1
Istanbul,Ziyaret,1
Istanbul,Resadiye District,1
Istanbul,Taskoy,1
Istanbul,Nusaybin district,1
Istanbul,Sason,1
Istanbul,Guclukonak District,1
Istanbul,Ercis,1
Istanbul,Karliova,1
Istanbul,Genc district,1
Istanbul,Kigi,1
Istanbul,Semdinli,6
Istanbul,Adana,3
Istanbul,Karakocan district,1
Istanbul,Hani,2
Istanbul,Ozalp,1
Istanbul,Saray,1
Istanbul,Yuksekova district,4
Istanbul,Genc,2
Istanbul,Cukurca district,1
Istanbul,Diyadin,1
Istanbul,Mesepinar,1
Istanbul,Gecitalan,1
Istanbul,Konya,1
Istanbul,Akdana,1
Istanbul,Celtiksuyu,1
Istanbul,Suruc,1
Istanbul,Islahiye district,1
Istanbul,Cizre,2
Istanbul,Erzincan,1
Istanbul,Cinar,1
Istanbul,Gecitli,1
Istanbul,Antalya,3
Istanbul,Ogulveren,1
Istanbul,Ankara,10
Istanbul,Caldiran district,1
Istanbul,Beldeler,1
Istanbul,Arabaslik,1
Istanbul,Eskisehir,1
Istanbul,Geyiksuyu,1
Istanbul,Cukurca,2
Istanbul,Dicle,2
Istanbul,Cayirli,2
Istanbul,Saricam District,1
Istanbul,Reyhanli,2
Istanbul,Siran,1
Istanbul,Servi,1
Istanbul,Kemer,1
Istanbul,Cizre district,2
Istanbul,Refahiye,1
Istanbul,Catak,2
Istanbul,Tunceli,2
Istanbul,Daglica,2
Ankara,Omurlu,1
Ankara,Uskudar,1
Ankara,Diyarbakir district,1
Ankara,Lice district,1
Ankara,Malatya,2
Ankara,Ceylanpinar,1
Ankara,Yuksekova,2
Ankara,Konak District,1
Ankara,Ordu,1
Ankara,Dortyol,1
Ankara,Kizilsu,1
Ankara,Van,4
Ankara,Kabala,1
Ankara,Sur district,1
Ankara,Baykoy,1
Ankara,Kucukmece,1
Ankara,Pendik,1
Ankara,Toroslar,1
Ankara,Bursa,1
Ankara,Kadikoy district,1
Ankara,Kocakoy,2
Ankara,Gebze district,1
Ankara,Mersin,4
Ankara,Dogansar District,1
Ankara,Ercis district,1
Ankara,Pulumur,2
Ankara,Isparta,1
Ankara,Kasimli,1
Ankara,Pinarbasi,1
Ankara,Sultangazi district,1
Ankara,Hani district,1
Ankara,Alacakaya,1
Ankara,Nusaybin,2
Ankara,Batman,3
Ankara,Belenoluk,1
Ankara,Aydin,1
Ankara,Torul,1
Ankara,Cankiri,1
Ankara,Dikbiyik,1
Ankara,Hakkari,4
Ankara,Sirnak,2
Ankara,Caglayan,1
Ankara,Akcay,1
Ankara,Sanliurfa,2
Ankara,Mardinkapi,1
Ankara,Yuksekova District,1
Ankara,Yenimahalle District,1
Ankara,Beytussebap district,1
Ankara,Gaziantep,2
Ankara,Erzin,1
Ankara,Semdinli district,2
Ankara,Hatay,1
Ankara,Yenisehir,1
Ankara,Pozanti,1
Ankara,Bulanik,1
Ankara,Besikduzu,1
Ankara,Bitlis,1
Ankara,Mus,1
Ankara,Diyadin District,1
Ankara,Cat district,1
Ankara,Lice,1
Ankara,Of,1
Ankara,Iskenderun,1
Ankara,Payas,1
Ankara,Dogubeyazit district,2
Ankara,Beytussebap,1
Ankara,Bademli,1
Ankara,Solhan,1
Ankara,Bukardi,1
Ankara,Cizre District,1
Ankara,Bingol,1
Ankara,Kiziltepe District,1
Ankara,Pervari,1
Ankara,Mezra,1
Ankara,Izmir,3
Ankara,Cigdemli,1
Ankara,Tatvan,2
Ankara,Samsun,1
Ankara,Omerli,1
Ankara,Yenikoy,1
Ankara,Tokat,1
Ankara,Dazya,1
